,,,,,,,,,
,ACESSO AO ENSINO SUPERIOR 2017 - 1ª FASE DO CONCURSO NACIONAL DE ACESSO,,,,,,,,
,Resultados,,,,,,,,
,,,,,,,,,
,Código Instit.,Código Curso,Instituição,Curso,Grau,Vagas Iniciais,Colocados,Nota do últ. colocado (cont. geral),Vagas sobrantes
,0602,8262,Universidade de Évora - Escola de Ciências e Tecnologia,Biologia Humana,L1,30,30,124.7,0
,0602,9003,Universidade de Évora - Escola de Ciências e Tecnologia,Agronomia,L1,40,28,106.7,12
,0602,9011,Universidade de Évora - Escola de Ciências e Tecnologia,Biologia,L1,45,45,114.2,0
,0602,9015,Universidade de Évora - Escola de Ciências e Tecnologia,Bioquímica,L1,35,35,117.1,0
,0602,9016,Universidade de Évora - Escola de Ciências e Tecnologia,Biotecnologia,L1,27,26,107.5,1
,0602,9119,Universidade de Évora - Escola de Ciências e Tecnologia,Engenharia Informática,L1,42,42,129.3,0
,0602,9143,Universidade de Évora - Escola de Ciências e Tecnologia,Geografia,L1,20,14,96.0,6
,0602,9146,Universidade de Évora - Escola de Ciências e Tecnologia,Geologia,L1,10,3,110.0,7
,0602,9210,Universidade de Évora - Escola de Ciências e Tecnologia,Matemática Aplicada à Economia e à Gestão,L1,33,33,124.0,0
,0602,9223,Universidade de Évora - Escola de Ciências e Tecnologia,Química,L1,10,5,111.7,5
,0602,9707,Universidade de Évora - Escola de Ciências e Tecnologia,Ciências do Desporto,L1,40,40,124.7,0
,0602,9751,Universidade de Évora - Escola de Ciências e Tecnologia,Engenharia Mecatrónica,L1,30,22,111.3,8
,0602,9818,Universidade de Évora - Escola de Ciências e Tecnologia,Ciência e Tecnologia Animal,L1,40,26,109.8,14
,0602,9841,Universidade de Évora - Escola de Ciências e Tecnologia,Reabilitação Psicomotora,L1,27,17,115.2,10
,0602,9847,Universidade de Évora - Escola de Ciências e Tecnologia,Medicina Veterinária,MI,50,50,157.1,0
,0602,L090,Universidade de Évora - Escola de Ciências e Tecnologia,Ecologia e Ambiente,L1,10,6,110.0,4
,0603,9069,Universidade de Évora - Escola de Artes,Design,L1,30,30,135.4,0
,0603,9243,Universidade de Évora - Escola de Artes,Teatro,L1,20,20,122.1,0
,0603,9257,Universidade de Évora - Escola de Artes,Arquitetura,MI,50,29,105.0,21
,0603,9684,Universidade de Évora - Escola de Artes,Artes Visuais - Multimédia,L1,40,41,114.9,0
,0604,8251,Universidade de Évora - Escola de Ciências Sociais,História e Arqueologia,L1,20,20,121.5,0
,0604,9026,Universidade de Évora - Escola de Ciências Sociais,Ciências da Educação,L1,22,23,108.0,0
,0604,9081,Universidade de Évora - Escola de Ciências Sociais,Economia,L1,37,38,128.5,0
,0604,9147,Universidade de Évora - Escola de Ciências Sociais,Gestão,L1,64,64,137.1,0
,0604,9219,Universidade de Évora - Escola de Ciências Sociais,Psicologia,L1,48,48,142.0,0
,0604,9229,Universidade de Évora - Escola de Ciências Sociais,Relações Internacionais,L1,51,53,135.7,0
,0604,9240,Universidade de Évora - Escola de Ciências Sociais,Sociologia,L1,30,33,123.7,0
,0604,9254,Universidade de Évora - Escola de Ciências Sociais,Turismo,L1,27,29,132.3,0
,0604,9787,Universidade de Évora - Escola de Ciências Sociais,Património Cultural,L1,20,14,98.9,6
,0604,9853,Universidade de Évora - Escola de Ciências Sociais,Educação Básica,L1,20,20,118.0,0
,0604,L047,Universidade de Évora - Escola de Ciências Sociais,Línguas e Literaturas,L1,40,42,127.2,0
,0901,9813,Universidade Nova de Lisboa - Faculdade de Ciências Médicas,Medicina,MI,231,231,178.3,0
,0902,8109,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Sociologia (regime pós-laboral),L1,25,27,128.5,0
,0902,9006,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Arqueologia,L1,30,30,120.0,0
,0902,9020,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Ciência Política e Relações Internacionais,L1,81,83,169.5,0
,0902,9023,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Ciências da Comunicação,L1,95,96,168.5,0
,0902,9040,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Ciências da Linguagem,L1,20,20,128.5,0
,0902,9046,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Ciências Musicais,L1,49,49,120.5,0
,0902,9139,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Filosofia,L1,27,27,138.0,0
,0902,9145,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Geografia e Planeamento Regional,L1,62,62,132.0,0
,0902,9181,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,História,L1,45,45,148.0,0
,0902,9182,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,História da Arte,L1,46,46,118.5,0
,0902,9204,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,"Línguas, Literaturas e Culturas",L1,82,86,141.5,0
,0902,9240,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Sociologia,L1,55,56,140.0,0
,0902,9252,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Tradução,L1,60,63,156.0,0
,0902,9448,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Antropologia,L1,48,48,123.5,0
,0902,9917,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Estudos Portugueses,L1,20,17,104.0,3
,0903,8036,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Conservação - Restauro,L1,25,25,130.4,0
,0903,8334,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia de Micro e Nanotecnologias,MI,55,55,149.8,0
,0903,9015,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Bioquímica,L1,100,100,148.4,0
,0903,9116,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Geológica,L1,20,20,121.0,0
,0903,9209,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Matemática,L1,30,30,153.6,0
,0903,9224,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Química Aplicada,L1,25,25,144.8,0
,0903,9348,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Biologia Celular e Molecular,L1,70,70,163.2,0
,0903,9359,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Biomédica,MI,64,64,173.2,0
,0903,9360,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Civil,MI,60,60,128.2,0
,0903,9363,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia de Materiais,MI,25,25,146.8,0
,0903,9367,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Eletrotécnica e de Computadores,MI,156,156,143.8,0
,0903,9368,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Física,MI,25,25,159.6,0
,0903,9369,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Mecânica,MI,85,85,157.2,0
,0903,9370,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Química e Bioquímica,Mi,75,75,141.4,0
,0903,9508,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia do Ambiente,MI,65,65,127.0,0
,0903,9509,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia e Gestão Industrial,MI,60,60,159.0,0
,0903,G005,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Informática,MI,170,170,154.2,0
,0904,9081,Universidade Nova de Lisboa - Faculdade de Economia,Economia,L1,210,210,169.5,0
,0904,9147,Universidade Nova de Lisboa - Faculdade de Economia,Gestão,L1,210,210,174.0,0
,0906,8259,Universidade Nova de Lisboa - Instituto Superior de Estatística e Gestão de Informação,Sistemas e Tecnologias de Informação,L1,40,41,160.7,0
,0906,9155,Universidade Nova de Lisboa - Instituto Superior de Estatística e Gestão de Informação,Gestão de Informação,L1,60,60,166.0,0
,0911,9078,Universidade Nova de Lisboa - Faculdade de Direito,Direito,L1,100,100,160.5,0
,1000,8005,Universidade do Minho,Marketing (regime pós-laboral),L1,48,48,148.6,0
,1000,8183,Universidade do Minho,Geografia e Planeamento,L1,40,42,117.4,0
,1000,8184,Universidade do Minho,Optometria e Ciências da Visão,L1,55,46,111.2,9
,1000,8358,Universidade do Minho,Direito (regime pós-laboral),L1,15,15,162.6,0
,1000,8427,Universidade do Minho,Educação (regime pós-laboral),L1,24,24,119.8,0
,1000,8433,Universidade do Minho,Negócios Internacionais (regime pós-laboral),L1,28,28,139.2,0
,1000,8494,Universidade do Minho,Design de Produto,L1,33,33,142.0,0
,1000,9002,Universidade do Minho,Administração Pública,L1,41,42,148.4,0
,1000,9006,Universidade do Minho,Arqueologia,L1,20,20,114.6,0
,1000,9012,Universidade do Minho,Biologia e Geologia,L1,45,45,117.0,0
,1000,9015,Universidade do Minho,Bioquímica,L1,65,66,144.8,0
,1000,9019,Universidade do Minho,Ciência Política,L1,30,30,150.8,0
,1000,9023,Universidade do Minho,Ciências da Comunicação,L1,65,65,158.8,0
,1000,9078,Universidade do Minho,Direito,L1,110,112,164.4,0
,1000,9081,Universidade do Minho,Economia,L1,79,79,163.6,0
,1000,9134,Universidade do Minho,Estudos Culturais,L1,20,20,141.6,0
,1000,9138,Universidade do Minho,Estudos Portugueses e Lusófonos,L1,30,30,122.6,0
,1000,9139,Universidade do Minho,Filosofia,L1,25,25,118.0,0
,1000,9141,Universidade do Minho,Física,L1,22,22,139.4,0
,1000,9146,Universidade do Minho,Geologia,L1,25,14,103.6,11
,1000,9147,Universidade do Minho,Gestão,L1,73,73,166.0,0
,1000,9181,Universidade do Minho,História,L1,35,35,126.6,0
,1000,9192,Universidade do Minho,Línguas Aplicadas,L1,46,46,160.4,0
,1000,9195,Universidade do Minho,Línguas e Literaturas Europeias,L1,59,59,143.0,0
,1000,9209,Universidade do Minho,Matemática,L1,26,26,130.8,0
,1000,9223,Universidade do Minho,Química,L1,20,20,135.4,0
,1000,9229,Universidade do Minho,Relações Internacionais,L1,65,65,155.2,0
,1000,9240,Universidade do Minho,Sociologia,L1,57,58,137.8,0
,1000,9243,Universidade do Minho,Teatro,L1,25,25,133.2,0
,1000,9257,Universidade do Minho,Arquitetura,MI,55,55,150.0,0
,1000,9353,Universidade do Minho,Educação,L1,47,47,129.8,0
,1000,9358,Universidade do Minho,Engenharia Biológica,MI,42,42,140.0,0
,1000,9359,Universidade do Minho,Engenharia Biomédica,MI,65,65,175.2,0
,1000,9360,Universidade do Minho,Engenharia Civil,MI,36,36,126.6,0
,1000,9363,Universidade do Minho,Engenharia de Materiais,MI,22,22,153.0,0
,1000,9364,Universidade do Minho,Engenharia de Polímeros,MI,30,30,144.6,0
,1000,9366,Universidade do Minho,Engenharia Eletrónica Industrial e Computadores,MI,85,85,142.8,0
,1000,9368,Universidade do Minho,Engenharia Física,MI,28,28,147.8,0
