,,,,,,,,
ACESSO AO ENSINO SUPERIOR 2018 - 1ª FASE DO CONCURSO NACIONAL DE ACESSO,,,,,,,,
Classificações dos últimos colocados pelo contingente geral,,,,,,,,
,,,,,,,,
Código Instit.,Código Curso,Nome da Instituição,Nome do Curso,Grau,Vagas Iniciais,Colocados ,Nota do últ. colocado (cont. geral),"Sobras para
2ª fase"
0903,9509,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia e Gestão Industrial,MI,55,55,158.4,0
0903,G005,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Engenharia Informática,MI,170,170,149.4,0
0903,L167,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Matemática Aplicada à Gestão do Risco,L1,20,20,153.6,0
0904,9081,Universidade Nova de Lisboa - Faculdade de Economia,Economia,L1,195,195,163.5,0
0904,9147,Universidade Nova de Lisboa - Faculdade de Economia,Gestão,L1,195,195,169.0,0
0906,8259,Universidade Nova de Lisboa - Instituto Superior de Estatística e Gestão de Informação,Sistemas e Tecnologias de Informação,L1,37,38,162.2,0
0906,9155,Universidade Nova de Lisboa - Instituto Superior de Estatística e Gestão de Informação,Gestão de Informação,L1,56,56,169.9,0
0911,9078,Universidade Nova de Lisboa - Faculdade de Direito,Direito,L1,93,93,158.0,0
1000,8005,Universidade do Minho,Marketing (regime pós-laboral),L1,50,50,145.8,0
1000,8183,Universidade do Minho,Geografia e Planeamento,L1,40,41,122.0,0
1000,8184,Universidade do Minho,Optometria e Ciências da Visão,L1,55,24,117.2,31
1000,8358,Universidade do Minho,Direito (regime pós-laboral),L1,15,15,160.8,0
1000,8427,Universidade do Minho,Educação (regime pós-laboral),L1,24,25,123.0,0
1000,8433,Universidade do Minho,Negócios Internacionais (regime pós-laboral),L1,28,28,140.2,0
1000,8494,Universidade do Minho,Design de Produto,L1,36,36,139.0,0
1000,9002,Universidade do Minho,Administração Pública,L1,41,41,150.8,0
1000,9006,Universidade do Minho,Arqueologia,L1,20,20,117.4,0
1000,9012,Universidade do Minho,Biologia e Geologia,L1,45,46,106.0,0
1000,9015,Universidade do Minho,Bioquímica,L1,65,65,144.0,0
1000,9019,Universidade do Minho,Ciência Política,L1,30,30,152.6,0
