;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Portugal;Abrantes;Águeda;Almada;Amadora;Angra do Heroísmo;Aveiro;Barcelos;Barreiro;Beja;Braga;Bragança;Caldas da Rainha;Cascais;Castelo Branco;Coimbra;Covilhã;Elvas;Évora;Faro;Felgueiras;Funchal;Guarda;Idanha-a-Nova;Lamego;Leiria;Lisboa;Matosinhos;Melgaço;Mirandela;Oeiras;Oliveira de Azeméis;Oliveira do Hospital;Peniche;Ponta Delgada;Ponte de Lima;Portalegre;Portimão;Porto;Rio Maior;Santarém;Seia;Setúbal;Tomar;Valença;Viana do Castelo;Vila do Conde;Vila Nova de Gaia;Vila Real;Viseu
Covilhã; 972;0;2;1;0;0;6;0;0;0;3;4;0;9;148;56;528;1;11;6;1;0;29;20;1;4;85;0;0;0;6;0;0;5;0;1;11;0;18;1;1;2;1;1;0;0;0;0;6;4
Crato; 50;0;0;0;0;0;4;0;0;0;0;0;0;0;6;3;2;1;3;0;0;0;1;0;0;1;11;0;0;0;0;0;0;2;0;0;15;0;0;0;0;0;1;0;0;0;0;0;0;0
Cuba; 79;1;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;1;10;9;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Desconhecido; 92;2;1;0;0;0;23;0;0;0;0;0;0;0;1;1;0;0;5;1;0;0;21;1;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0
Elvas; 383;0;0;4;0;0;1;0;0;6;0;1;1;0;19;13;9;48;90;12;0;0;2;3;0;3;108;0;0;0;4;0;2;2;0;0;42;0;0;6;4;0;2;0;0;0;0;0;1;0
Entroncamento; 422;10;0;3;0;0;9;0;0;1;3;1;4;11;11;45;20;0;17;2;0;0;2;0;0;25;116;0;0;0;4;1;1;5;0;0;12;0;2;13;29;0;0;74;0;1;0;0;0;0
Espinho; 389;0;4;0;0;0;90;2;0;0;2;5;0;0;2;26;7;0;1;0;1;0;3;0;0;4;17;19;0;1;1;1;0;0;0;0;1;0;167;0;1;1;0;0;0;0;3;21;6;3
Esposende; 661;0;1;1;1;0;34;88;0;0;118;17;0;0;7;67;2;0;0;2;6;0;2;2;0;4;15;14;6;10;0;0;3;0;1;6;0;0;97;0;2;0;0;3;12;94;4;25;10;7
Estarreja; 329;0;24;1;0;0;99;0;0;0;3;1;2;0;5;49;15;1;4;1;0;0;10;0;1;5;27;2;0;2;2;6;4;4;0;0;1;1;27;0;0;0;0;5;0;0;1;2;4;20
Estremoz; 224;0;0;1;0;0;3;0;0;10;1;0;2;3;7;3;4;8;66;6;0;0;2;0;0;0;74;0;0;0;3;0;0;0;0;0;19;0;0;1;2;0;7;2;0;0;0;0;0;0
